"count","seller_zip_code_prefix"
"1","11450"
"1","04248"
"1","03126"
"1","70235"
"1","05537"
"1","06340"
"1","89065"
"1","85301"
"1","04714"
"1","05004"
"1","35540"
"1","23943"
"1","89207"
"1","26112"
"1","04083"
"1","14027"
"1","14960"
"1","86820"
"1","81250"
"1","06132"
"1","36071"
"1","03204"
"1","03280"
"1","04613"
"1","13321"
"1","04904"
"1","12570"
"1","18185"
"1","01408"
"1","03057"
"1","06653"
"1","87360"
"1","82810"
"1","17290"
"1","06283"
"1","35162"
"1","16012"
"1","07031"
"1","13312"
"1","82220"
"1","24240"
"1","08320"
"1","09270"
"1","13165"
"1","88504"
"1","15056"
"1","46430"
"1","05588"
"1","20270"
"1","12231"
"1","99730"
"1","13224"
"1","01125"
"1","13960"
"1","31230"
"1","12952"
"1","15806"
"1","89165"
"1","08840"
"1","02851"
"1","74323"
"1","03265"
"1","97050"
"1","31340"
"1","11045"
"1","06144"
"1","03185"
"1","03018"
"1","13483"
"1","03307"
"1","13424"
"1","01238"
"1","86802"
"1","88303"
"1","29090"
"1","81130"
"1","17320"
"1","72015"
"1","04693"
"1","04363"
"1","09020"
"1","09785"
"1","03514"
"1","03508"
"1","89117"
"1","15940"
"1","76500"
"1","04833"
"1","24445"
"1","37480"
"1","02117"
"1","55002"
"1","01511"
"1","13180"
"1","03694"
"1","02281"
"1","06150"
"1","04794"
"1","26600"
"1","04476"
